"date","value","avg1","avg5","avg10"
1997-08-15,208,111.083333333333,105.816666666667,110.741666666667
1997-09-15,163,110.75,106.083333333333,110.616666666667
1997-10-15,89,114.083333333333,106.583333333333,110.65
1997-11-15,58,113.916666666667,107.033333333333,110.8
1997-12-15,28,114.833333333333,107.483333333333,110.716666666667
1998-01-15,24,115.833333333333,106.866666666667,110.491666666667
1998-02-15,67,116.083333333333,107.183333333333,110.441666666667
1998-03-15,60,115.166666666667,107.366666666667,110.641666666667
1998-04-15,124,117.166666666667,107.616666666667,110.591666666667
1998-05-15,161,115,108.533333333333,110.633333333333
1998-06-15,200,112.25,108.983333333333,110.933333333333
1998-07-15,208,111.083333333333,109.533333333333,111.125
1998-08-15,211,106.666666666667,110.516666666667,111.458333333333
1998-09-15,152,108.25,111.4,111.55
1998-10-15,113,108.083333333333,111.383333333333,111.35
1998-11-15,32,108.083333333333,111.633333333333,111.8
1998-12-15,-5,106.833333333333,111.35,111.65
1999-01-15,10,107.416666666667,111.783333333333,111.158333333333
1999-02-15,14,106.25,112.25,111.333333333333
1999-03-15,79,108.833333333333,112.483333333333,111
1999-04-15,122,109,112.833333333333,111.091666666667
1999-05-15,161,109.583333333333,112.383333333333,111.016666666667
1999-06-15,185,111.666666666667,112.516666666667,110.925
1999-07-15,215,110.416666666667,113.183333333333,110.675
1999-08-15,197,113.916666666667,113.55,110.616666666667
1999-09-15,183,113.25,113.816666666667,110.466666666667
1999-10-15,115,114.916666666667,114.2,110.708333333333
1999-11-15,39,116.416666666667,114.483333333333,110.641666666667
1999-12-15,20,118.083333333333,114.8,110.55
2000-01-15,-5,116.333333333333,115.233333333333,110.691666666667
2000-02-15,56,118.333333333333,115.283333333333,110.116666666667
2000-03-15,71,116.416666666667,115.133333333333,110.033333333333
2000-04-15,142,118.083333333333,115.283333333333,110.075
2000-05-15,179,121.75,115.616666666667,110.158333333333
2000-06-15,205,122.333333333333,115.083333333333,110.283333333333
2000-07-15,194,123.416666666667,114.633333333333,110.125
2000-08-15,221,121.833333333333,113.316666666667,110.041666666667
2000-09-15,160,122.416666666667,113.533333333333,110.233333333333
2000-10-15,135,119.166666666667,113.233333333333,110.183333333333
2000-11-15,83,118.833333333333,113.6,110.333333333333
2000-12-15,27,116.416666666667,114.033333333333,110.4
2001-01-15,8,118.166666666667,114.25,110.35
2001-02-15,37,118.416666666667,114.783333333333,110.533333333333
2001-03-15,78,117,115.033333333333,110.666666666667
2001-04-15,103,117.333333333333,114.566666666667,110.833333333333
2001-05-15,175,114.416666666667,115.216666666667,110.775
2001-06-15,176,111.083333333333,115.55,110.791666666667
2001-07-15,215,111.833333333333,115.183333333333,111.225
